N;P;K;temperature;humidity;ph;rainfall;label
90;42;43;2087974371;8200274423;6,50299E+15;2029355362;arroz
85;58;41;2177046169;8031964408;7038096361;2266555374;arroz
60;55;44;2300445915;823207629;7840207144;2639642476;arroz
74;35;40;2649109635;8015836264;6980400905;2428640342;arroz
78;42;42;2013017482;8160487287;7628472891;2627173405;arroz
69;37;42;2305804872;8337011772;7073453503;2510549998;arroz
69;55;38;2270883798;8263941394;570080568;2713248604;arroz
94;53;40;2027774362;8289408619;5,71863E+15;2419741949;arroz
89;54;38;2451588066;8,35352E+15;6685346424;2304462359;arroz
68;58;38;2322397386;8303322691;6336253525;2212091958;arroz
91;53;40;2652723513;8141753846;5386167788;2646148697;arroz
90;46;42;2397898217;8145061596;750283396;2500832336;arroz
78;58;44;2680079604;8088684822;5108681786;2844364567;arroz
93;56;36;2401497622;8205687182;698435366;1852773389;arroz
94;50;37;2566585205;8066385045;694801983;2095869708;arroz
60;48;39;2428209415;8030025587;7,0423E+16;2310863347;arroz
85;38;41;2158711777;827883708;6,24905E+16;2,76655E+16;arroz
91;35;39;2379391957;8041817957;6970859754;2062611855;arroz
77;38;36;218652524;801923008;5953933276;2,24555E+16;arroz
88;35;40;2357943626;8358760316;585393208;2,91299E+15;arroz
89;45;36;2132504158;8047476396;6442475375;1854974732;arroz
76;40;43;2515745531;8311713476;5070175667;2313843163;arroz
67;59;41;2194766735;8097384195;6012632591;2133560921;arroz
83;41;43;210525355;8267839517;6254028451;2331075816;arroz
98;47;37;2348381344;8133265073;7375482851;2240581164;arroz
66;53;41;250756354;8052389148;7778915154;2570038865;arroz
97;59;43;2635927159;8404403589;6,2865E+16;2,71359E+16;arroz
97;50;41;2452922681;8054498576;7070959995;2602634026;arroz
60;49;44;2077576147;8449774397;6244841491;2400810647;arroz
84;51;35;2230157427;8064416466;6043304899;1979791215;arroz
73;57;41;2144653958;8494375962;5824709117;2722017204;arroz
92;35;40;2217931888;8033127223;6,35739E+16;2000882787;arroz
85;37;39;2452783742;8273685569;6,36413E+15;2,24676E+16;arroz
98;53;38;2026707606;8163895217;501450727;2704417274;arroz
88;54;44;257354293;8388266234;6149410611;2331321372;arroz
95;55;42;2679533926;821480873;5950660556;1933473987;arroz
99;57;35;2675754171;8117734011;5960370061;2,723E+16;arroz
95;39;36;2386330467;8315250801;5561398642;2852493645;arroz
60;43;44;2101944696;8295221726;7,41625E+15;2,98402E+16;arroz
63;44;41;2417298839;837287574;5583370042;2570343554;arroz
62;42;36;2278133816;8206719137;6430010215;2487183228;arroz
64;45;43;2562980105;8352842314;5534878156;2099001977;arroz
83;60;36;2559704938;8014509262;6903985986;200834898;arroz
82;40;40;2383067496;8481360127;6,27148E+15;2985601175;arroz
85;52;45;2631355498;8236698992;7224285503;2655355937;arroz
91;35;38;248972823;8052586088;613428721;1836793207;arroz
76;49;42;24958779;8447963372;5206373153;1,96956E+16;arroz
74;39;38;2324113501;8459201843;7,78205E+15;2330453455;arroz
79;43;39;2166628296;8070960551;7062779015;2108142087;arroz
88;55;45;2463544858;8041363018;7730367824;2537202781;arroz
60;36;43;2343121862;8306310136;5,2862E+15;2199048349;arroz
76;60;39;200454142;803477562;6766240045;2085810155;arroz
93;56;42;2385724032;8222572988;7382762603;1950948311;arroz
65;60;43;2197199397;8189918197;5,65817E+15;2273637009;arroz
95;52;36;2622916897;8383625819;5,54336E+15;2865083725;arroz
75;38;39;2344676801;8479352417;6215109715;2839338466;arroz
74;54;38;2565553461;8347021081;7120272972;2173788583;arroz
91;36;45;2444345477;8245432595;5,95065E+15;2,67976E+16;arroz
71;46;40;202801937;821235421;7236705436;1919535738;arroz
99;55;35;217238313;802389895;6501697816;2779626192;arroz
72;40;38;2041447029;8220802629;7592490617;2451511304;arroz
83;58;45;2575528612;8351827127;5875345751;2456626799;arroz
93;58;38;2061521424;8377345559;6932400225;2795451717;arroz
70;36;42;2184106875;8072886384;6,94621E+16;2023838319;arroz
76;47;42;2008369642;8329114712;5,73918E+15;2636372176;arroz
99;41;36;2445802087;8274835604;6738652179;1825616319;arroz
99;54;37;2114347496;8033502926;5,59482E+16;1986730942;arroz
86;59;35;2578720567;8211124033;6946636369;2435120414;arroz
69;46;41;2364124821;8028597873;5012139669;2631103304;arroz
91;56;37;2343191632;8056887849;6,36347E+15;2695039162;arroz
61;52;41;2497669518;83891805;6880431223;2048001847;arroz
67;45;38;2272791041;8,21707E+15;7300410836;2608875056;arroz
79;42;37;2487300744;8284022551;6,58792E+15;2,95609E+15;arroz
78;43;42;2132376327;8300320459;7,28374E+15;1923197536;arroz
75;54;36;2629465461;8456919326;7023936392;2574914906;arroz
97;36;45;222286982;8185872947;6939083505;2780791793;arroz
